run,effective_seed,n,k,base_seed,profile
42,816114883,20,4,816114841,artifact_jump_optimized
43,816114884,20,4,816114841,artifact_jump_optimized
44,816114885,20,4,816114841,artifact_jump_optimized
45,816114886,20,4,816114841,artifact_jump_optimized
46,816114887,20,4,816114841,artifact_jump_optimized
47,816114888,20,4,816114841,artifact_jump_optimized
48,816114889,20,4,816114841,artifact_jump_optimized
49,816114890,20,4,816114841,artifact_jump_optimized
50,816114891,20,4,816114841,artifact_jump_optimized
51,816114892,20,4,816114841,artifact_jump_optimized
52,816114893,20,4,816114841,artifact_jump_optimized
53,816114894,20,4,816114841,artifact_jump_optimized
54,816114895,20,4,816114841,artifact_jump_optimized
55,816114896,20,4,816114841,artifact_jump_optimized
56,816114897,20,4,816114841,artifact_jump_optimized
57,816114898,20,4,816114841,artifact_jump_optimized
58,816114899,20,4,816114841,artifact_jump_optimized
59,816114900,20,4,816114841,artifact_jump_optimized
60,816114901,20,4,816114841,artifact_jump_optimized
61,816114902,20,4,816114841,artifact_jump_optimized
62,816114903,20,4,816114841,artifact_jump_optimized
63,816114904,20,4,816114841,artifact_jump_optimized
64,816114905,20,4,816114841,artifact_jump_optimized
65,816114906,20,4,816114841,artifact_jump_optimized
66,816114907,20,4,816114841,artifact_jump_optimized
67,816114908,20,4,816114841,artifact_jump_optimized
68,816114909,20,4,816114841,artifact_jump_optimized
69,816114910,20,4,816114841,artifact_jump_optimized
70,816114911,20,4,816114841,artifact_jump_optimized
71,816114912,20,4,816114841,artifact_jump_optimized
72,816114913,20,4,816114841,artifact_jump_optimized
73,816114914,20,4,816114841,artifact_jump_optimized
74,816114915,20,4,816114841,artifact_jump_optimized
75,816114916,20,4,816114841,artifact_jump_optimized
76,816114917,20,4,816114841,artifact_jump_optimized
77,816114918,20,4,816114841,artifact_jump_optimized
78,816114919,20,4,816114841,artifact_jump_optimized
79,816114920,20,4,816114841,artifact_jump_optimized
80,816114921,20,4,816114841,artifact_jump_optimized
81,816114922,20,4,816114841,artifact_jump_optimized
82,816114923,20,4,816114841,artifact_jump_optimized
83,816114924,20,4,816114841,artifact_jump_optimized
84,816114925,20,4,816114841,artifact_jump_optimized
85,816114926,20,4,816114841,artifact_jump_optimized
86,816114927,20,4,816114841,artifact_jump_optimized
87,816114928,20,4,816114841,artifact_jump_optimized
88,816114929,20,4,816114841,artifact_jump_optimized
89,816114930,20,4,816114841,artifact_jump_optimized
90,816114931,20,4,816114841,artifact_jump_optimized
91,816114932,20,4,816114841,artifact_jump_optimized
92,816114933,20,4,816114841,artifact_jump_optimized
93,816114934,20,4,816114841,artifact_jump_optimized
94,816114935,20,4,816114841,artifact_jump_optimized
95,816114936,20,4,816114841,artifact_jump_optimized
96,816114937,20,4,816114841,artifact_jump_optimized
97,816114938,20,4,816114841,artifact_jump_optimized
98,816114939,20,4,816114841,artifact_jump_optimized
99,816114940,20,4,816114841,artifact_jump_optimized
100,816114941,20,4,816114841,artifact_jump_optimized
101,816114942,20,4,816114841,artifact_jump_optimized
102,816114943,20,4,816114841,artifact_jump_optimized
103,816114944,20,4,816114841,artifact_jump_optimized
104,816114945,20,4,816114841,artifact_jump_optimized
105,816114946,20,4,816114841,artifact_jump_optimized
106,816114947,20,4,816114841,artifact_jump_optimized
107,816114948,20,4,816114841,artifact_jump_optimized
108,816114949,20,4,816114841,artifact_jump_optimized
109,816114950,20,4,816114841,artifact_jump_optimized
110,816114951,20,4,816114841,artifact_jump_optimized
111,816114952,20,4,816114841,artifact_jump_optimized
112,816114953,20,4,816114841,artifact_jump_optimized
113,816114954,20,4,816114841,artifact_jump_optimized
114,816114955,20,4,816114841,artifact_jump_optimized
115,816114956,20,4,816114841,artifact_jump_optimized
116,816114957,20,4,816114841,artifact_jump_optimized
117,816114958,20,4,816114841,artifact_jump_optimized
118,816114959,20,4,816114841,artifact_jump_optimized
119,816114960,20,4,816114841,artifact_jump_optimized
120,816114961,20,4,816114841,artifact_jump_optimized
121,816114962,20,4,816114841,artifact_jump_optimized
122,816114963,20,4,816114841,artifact_jump_optimized
123,816114964,20,4,816114841,artifact_jump_optimized
124,816114965,20,4,816114841,artifact_jump_optimized
125,816114966,20,4,816114841,artifact_jump_optimized
126,816114967,20,4,816114841,artifact_jump_optimized
127,816114968,20,4,816114841,artifact_jump_optimized
128,816114969,20,4,816114841,artifact_jump_optimized
129,816114970,20,4,816114841,artifact_jump_optimized
130,816114971,20,4,816114841,artifact_jump_optimized
131,816114972,20,4,816114841,artifact_jump_optimized
132,816114973,20,4,816114841,artifact_jump_optimized
133,816114974,20,4,816114841,artifact_jump_optimized
134,816114975,20,4,816114841,artifact_jump_optimized
135,816114976,20,4,816114841,artifact_jump_optimized
136,816114977,20,4,816114841,artifact_jump_optimized
137,816114978,20,4,816114841,artifact_jump_optimized
138,816114979,20,4,816114841,artifact_jump_optimized
139,816114980,20,4,816114841,artifact_jump_optimized
140,816114981,20,4,816114841,artifact_jump_optimized
141,816114982,20,4,816114841,artifact_jump_optimized
142,816114983,20,4,816114841,artifact_jump_optimized
143,816114984,20,4,816114841,artifact_jump_optimized
144,816114985,20,4,816114841,artifact_jump_optimized
145,816114986,20,4,816114841,artifact_jump_optimized
146,816114987,20,4,816114841,artifact_jump_optimized
147,816114988,20,4,816114841,artifact_jump_optimized
148,816114989,20,4,816114841,artifact_jump_optimized
149,816114990,20,4,816114841,artifact_jump_optimized
150,816114991,20,4,816114841,artifact_jump_optimized
151,816114992,20,4,816114841,artifact_jump_optimized
152,816114993,20,4,816114841,artifact_jump_optimized
153,816114994,20,4,816114841,artifact_jump_optimized
154,816114995,20,4,816114841,artifact_jump_optimized
155,816114996,20,4,816114841,artifact_jump_optimized
156,816114997,20,4,816114841,artifact_jump_optimized
157,816114998,20,4,816114841,artifact_jump_optimized
158,816114999,20,4,816114841,artifact_jump_optimized
159,816115000,20,4,816114841,artifact_jump_optimized
160,816115001,20,4,816114841,artifact_jump_optimized
161,816115002,20,4,816114841,artifact_jump_optimized
162,816115003,20,4,816114841,artifact_jump_optimized
163,816115004,20,4,816114841,artifact_jump_optimized
164,816115005,20,4,816114841,artifact_jump_optimized
165,816115006,20,4,816114841,artifact_jump_optimized
166,816115007,20,4,816114841,artifact_jump_optimized
167,816115008,20,4,816114841,artifact_jump_optimized
168,816115009,20,4,816114841,artifact_jump_optimized
169,816115010,20,4,816114841,artifact_jump_optimized
170,816115011,20,4,816114841,artifact_jump_optimized
171,816115012,20,4,816114841,artifact_jump_optimized
172,816115013,20,4,816114841,artifact_jump_optimized
173,816115014,20,4,816114841,artifact_jump_optimized
174,816115015,20,4,816114841,artifact_jump_optimized
175,816115016,20,4,816114841,artifact_jump_optimized
176,816115017,20,4,816114841,artifact_jump_optimized
177,816115018,20,4,816114841,artifact_jump_optimized
178,816115019,20,4,816114841,artifact_jump_optimized
179,816115020,20,4,816114841,artifact_jump_optimized
180,816115021,20,4,816114841,artifact_jump_optimized
181,816115022,20,4,816114841,artifact_jump_optimized
182,816115023,20,4,816114841,artifact_jump_optimized
183,816115024,20,4,816114841,artifact_jump_optimized
184,816115025,20,4,816114841,artifact_jump_optimized
185,816115026,20,4,816114841,artifact_jump_optimized
186,816115027,20,4,816114841,artifact_jump_optimized
187,816115028,20,4,816114841,artifact_jump_optimized
188,816115029,20,4,816114841,artifact_jump_optimized
189,816115030,20,4,816114841,artifact_jump_optimized
190,816115031,20,4,816114841,artifact_jump_optimized
191,816115032,20,4,816114841,artifact_jump_optimized
192,816115033,20,4,816114841,artifact_jump_optimized
193,816115034,20,4,816114841,artifact_jump_optimized
194,816115035,20,4,816114841,artifact_jump_optimized
195,816115036,20,4,816114841,artifact_jump_optimized
196,816115037,20,4,816114841,artifact_jump_optimized
197,816115038,20,4,816114841,artifact_jump_optimized
198,816115039,20,4,816114841,artifact_jump_optimized
199,816115040,20,4,816114841,artifact_jump_optimized
200,816115041,20,4,816114841,artifact_jump_optimized
201,816115042,20,4,816114841,artifact_jump_optimized
202,816115043,20,4,816114841,artifact_jump_optimized
203,816115044,20,4,816114841,artifact_jump_optimized
204,816115045,20,4,816114841,artifact_jump_optimized
205,816115046,20,4,816114841,artifact_jump_optimized
206,816115047,20,4,816114841,artifact_jump_optimized
207,816115048,20,4,816114841,artifact_jump_optimized
208,816115049,20,4,816114841,artifact_jump_optimized
209,816115050,20,4,816114841,artifact_jump_optimized
210,816115051,20,4,816114841,artifact_jump_optimized
211,816115052,20,4,816114841,artifact_jump_optimized
212,816115053,20,4,816114841,artifact_jump_optimized
213,816115054,20,4,816114841,artifact_jump_optimized
214,816115055,20,4,816114841,artifact_jump_optimized
215,816115056,20,4,816114841,artifact_jump_optimized
216,816115057,20,4,816114841,artifact_jump_optimized
217,816115058,20,4,816114841,artifact_jump_optimized
218,816115059,20,4,816114841,artifact_jump_optimized
219,816115060,20,4,816114841,artifact_jump_optimized
220,816115061,20,4,816114841,artifact_jump_optimized
221,816115062,20,4,816114841,artifact_jump_optimized
222,816115063,20,4,816114841,artifact_jump_optimized
223,816115064,20,4,816114841,artifact_jump_optimized
224,816115065,20,4,816114841,artifact_jump_optimized
225,816115066,20,4,816114841,artifact_jump_optimized
226,816115067,20,4,816114841,artifact_jump_optimized
227,816115068,20,4,816114841,artifact_jump_optimized
228,816115069,20,4,816114841,artifact_jump_optimized
229,816115070,20,4,816114841,artifact_jump_optimized
230,816115071,20,4,816114841,artifact_jump_optimized
231,816115072,20,4,816114841,artifact_jump_optimized
232,816115073,20,4,816114841,artifact_jump_optimized
233,816115074,20,4,816114841,artifact_jump_optimized
234,816115075,20,4,816114841,artifact_jump_optimized
235,816115076,20,4,816114841,artifact_jump_optimized
236,816115077,20,4,816114841,artifact_jump_optimized
237,816115078,20,4,816114841,artifact_jump_optimized
238,816115079,20,4,816114841,artifact_jump_optimized
239,816115080,20,4,816114841,artifact_jump_optimized
240,816115081,20,4,816114841,artifact_jump_optimized
241,816115082,20,4,816114841,artifact_jump_optimized
242,816115083,20,4,816114841,artifact_jump_optimized
243,816115084,20,4,816114841,artifact_jump_optimized
244,816115085,20,4,816114841,artifact_jump_optimized
245,816115086,20,4,816114841,artifact_jump_optimized
246,816115087,20,4,816114841,artifact_jump_optimized
247,816115088,20,4,816114841,artifact_jump_optimized
248,816115089,20,4,816114841,artifact_jump_optimized
249,816115090,20,4,816114841,artifact_jump_optimized
250,816115091,20,4,816114841,artifact_jump_optimized
251,816115092,20,4,816114841,artifact_jump_optimized
252,816115093,20,4,816114841,artifact_jump_optimized
253,816115094,20,4,816114841,artifact_jump_optimized
254,816115095,20,4,816114841,artifact_jump_optimized
255,816115096,20,4,816114841,artifact_jump_optimized
256,816115097,20,4,816114841,artifact_jump_optimized
257,816115098,20,4,816114841,artifact_jump_optimized
258,816115099,20,4,816114841,artifact_jump_optimized
259,816115100,20,4,816114841,artifact_jump_optimized
260,816115101,20,4,816114841,artifact_jump_optimized
261,816115102,20,4,816114841,artifact_jump_optimized
262,816115103,20,4,816114841,artifact_jump_optimized
263,816115104,20,4,816114841,artifact_jump_optimized
264,816115105,20,4,816114841,artifact_jump_optimized
265,816115106,20,4,816114841,artifact_jump_optimized
266,816115107,20,4,816114841,artifact_jump_optimized
267,816115108,20,4,816114841,artifact_jump_optimized
268,816115109,20,4,816114841,artifact_jump_optimized
269,816115110,20,4,816114841,artifact_jump_optimized
270,816115111,20,4,816114841,artifact_jump_optimized
271,816115112,20,4,816114841,artifact_jump_optimized
272,816115113,20,4,816114841,artifact_jump_optimized
273,816115114,20,4,816114841,artifact_jump_optimized
274,816115115,20,4,816114841,artifact_jump_optimized
275,816115116,20,4,816114841,artifact_jump_optimized
276,816115117,20,4,816114841,artifact_jump_optimized
277,816115118,20,4,816114841,artifact_jump_optimized
278,816115119,20,4,816114841,artifact_jump_optimized
279,816115120,20,4,816114841,artifact_jump_optimized
280,816115121,20,4,816114841,artifact_jump_optimized
281,816115122,20,4,816114841,artifact_jump_optimized
282,816115123,20,4,816114841,artifact_jump_optimized
283,816115124,20,4,816114841,artifact_jump_optimized
284,816115125,20,4,816114841,artifact_jump_optimized
285,816115126,20,4,816114841,artifact_jump_optimized
286,816115127,20,4,816114841,artifact_jump_optimized
287,816115128,20,4,816114841,artifact_jump_optimized
288,816115129,20,4,816114841,artifact_jump_optimized
289,816115130,20,4,816114841,artifact_jump_optimized
290,816115131,20,4,816114841,artifact_jump_optimized
291,816115132,20,4,816114841,artifact_jump_optimized
292,816115133,20,4,816114841,artifact_jump_optimized
293,816115134,20,4,816114841,artifact_jump_optimized
294,816115135,20,4,816114841,artifact_jump_optimized
295,816115136,20,4,816114841,artifact_jump_optimized
296,816115137,20,4,816114841,artifact_jump_optimized
297,816115138,20,4,816114841,artifact_jump_optimized
298,816115139,20,4,816114841,artifact_jump_optimized
299,816115140,20,4,816114841,artifact_jump_optimized
300,816115141,20,4,816114841,artifact_jump_optimized
301,816115142,20,4,816114841,artifact_jump_optimized
302,816115143,20,4,816114841,artifact_jump_optimized
303,816115144,20,4,816114841,artifact_jump_optimized
304,816115145,20,4,816114841,artifact_jump_optimized
305,816115146,20,4,816114841,artifact_jump_optimized
306,816115147,20,4,816114841,artifact_jump_optimized
307,816115148,20,4,816114841,artifact_jump_optimized
308,816115149,20,4,816114841,artifact_jump_optimized
309,816115150,20,4,816114841,artifact_jump_optimized
310,816115151,20,4,816114841,artifact_jump_optimized
311,816115152,20,4,816114841,artifact_jump_optimized
312,816115153,20,4,816114841,artifact_jump_optimized
313,816115154,20,4,816114841,artifact_jump_optimized
314,816115155,20,4,816114841,artifact_jump_optimized
315,816115156,20,4,816114841,artifact_jump_optimized
316,816115157,20,4,816114841,artifact_jump_optimized
317,816115158,20,4,816114841,artifact_jump_optimized
318,816115159,20,4,816114841,artifact_jump_optimized
319,816115160,20,4,816114841,artifact_jump_optimized
320,816115161,20,4,816114841,artifact_jump_optimized
321,816115162,20,4,816114841,artifact_jump_optimized
322,816115163,20,4,816114841,artifact_jump_optimized
323,816115164,20,4,816114841,artifact_jump_optimized
324,816115165,20,4,816114841,artifact_jump_optimized
325,816115166,20,4,816114841,artifact_jump_optimized
326,816115167,20,4,816114841,artifact_jump_optimized
327,816115168,20,4,816114841,artifact_jump_optimized
328,816115169,20,4,816114841,artifact_jump_optimized
329,816115170,20,4,816114841,artifact_jump_optimized
330,816115171,20,4,816114841,artifact_jump_optimized
331,816115172,20,4,816114841,artifact_jump_optimized
332,816115173,20,4,816114841,artifact_jump_optimized
333,816115174,20,4,816114841,artifact_jump_optimized
334,816115175,20,4,816114841,artifact_jump_optimized
335,816115176,20,4,816114841,artifact_jump_optimized
336,816115177,20,4,816114841,artifact_jump_optimized
337,816115178,20,4,816114841,artifact_jump_optimized
338,816115179,20,4,816114841,artifact_jump_optimized
339,816115180,20,4,816114841,artifact_jump_optimized
340,816115181,20,4,816114841,artifact_jump_optimized
341,816115182,20,4,816114841,artifact_jump_optimized
342,816115183,20,4,816114841,artifact_jump_optimized
343,816115184,20,4,816114841,artifact_jump_optimized
344,816115185,20,4,816114841,artifact_jump_optimized
345,816115186,20,4,816114841,artifact_jump_optimized
346,816115187,20,4,816114841,artifact_jump_optimized
347,816115188,20,4,816114841,artifact_jump_optimized
348,816115189,20,4,816114841,artifact_jump_optimized
349,816115190,20,4,816114841,artifact_jump_optimized
350,816115191,20,4,816114841,artifact_jump_optimized
351,816115192,20,4,816114841,artifact_jump_optimized
352,816115193,20,4,816114841,artifact_jump_optimized
353,816115194,20,4,816114841,artifact_jump_optimized
354,816115195,20,4,816114841,artifact_jump_optimized
355,816115196,20,4,816114841,artifact_jump_optimized
356,816115197,20,4,816114841,artifact_jump_optimized
357,816115198,20,4,816114841,artifact_jump_optimized
358,816115199,20,4,816114841,artifact_jump_optimized
359,816115200,20,4,816114841,artifact_jump_optimized
360,816115201,20,4,816114841,artifact_jump_optimized
361,816115202,20,4,816114841,artifact_jump_optimized
362,816115203,20,4,816114841,artifact_jump_optimized
363,816115204,20,4,816114841,artifact_jump_optimized
364,816115205,20,4,816114841,artifact_jump_optimized
365,816115206,20,4,816114841,artifact_jump_optimized
366,816115207,20,4,816114841,artifact_jump_optimized
367,816115208,20,4,816114841,artifact_jump_optimized
368,816115209,20,4,816114841,artifact_jump_optimized
369,816115210,20,4,816114841,artifact_jump_optimized
370,816115211,20,4,816114841,artifact_jump_optimized
371,816115212,20,4,816114841,artifact_jump_optimized
372,816115213,20,4,816114841,artifact_jump_optimized
373,816115214,20,4,816114841,artifact_jump_optimized
374,816115215,20,4,816114841,artifact_jump_optimized
375,816115216,20,4,816114841,artifact_jump_optimized
376,816115217,20,4,816114841,artifact_jump_optimized
377,816115218,20,4,816114841,artifact_jump_optimized
378,816115219,20,4,816114841,artifact_jump_optimized
379,816115220,20,4,816114841,artifact_jump_optimized
380,816115221,20,4,816114841,artifact_jump_optimized
381,816115222,20,4,816114841,artifact_jump_optimized
382,816115223,20,4,816114841,artifact_jump_optimized
383,816115224,20,4,816114841,artifact_jump_optimized
384,816115225,20,4,816114841,artifact_jump_optimized
385,816115226,20,4,816114841,artifact_jump_optimized
386,816115227,20,4,816114841,artifact_jump_optimized
387,816115228,20,4,816114841,artifact_jump_optimized
388,816115229,20,4,816114841,artifact_jump_optimized
389,816115230,20,4,816114841,artifact_jump_optimized
390,816115231,20,4,816114841,artifact_jump_optimized
391,816115232,20,4,816114841,artifact_jump_optimized
392,816115233,20,4,816114841,artifact_jump_optimized
393,816115234,20,4,816114841,artifact_jump_optimized
394,816115235,20,4,816114841,artifact_jump_optimized
395,816115236,20,4,816114841,artifact_jump_optimized
396,816115237,20,4,816114841,artifact_jump_optimized
397,816115238,20,4,816114841,artifact_jump_optimized
398,816115239,20,4,816114841,artifact_jump_optimized
399,816115240,20,4,816114841,artifact_jump_optimized
400,816115241,20,4,816114841,artifact_jump_optimized
401,816115242,20,4,816114841,artifact_jump_optimized
402,816115243,20,4,816114841,artifact_jump_optimized
403,816115244,20,4,816114841,artifact_jump_optimized
404,816115245,20,4,816114841,artifact_jump_optimized
405,816115246,20,4,816114841,artifact_jump_optimized
406,816115247,20,4,816114841,artifact_jump_optimized
407,816115248,20,4,816114841,artifact_jump_optimized
408,816115249,20,4,816114841,artifact_jump_optimized
409,816115250,20,4,816114841,artifact_jump_optimized
410,816115251,20,4,816114841,artifact_jump_optimized
411,816115252,20,4,816114841,artifact_jump_optimized
412,816115253,20,4,816114841,artifact_jump_optimized
413,816115254,20,4,816114841,artifact_jump_optimized
414,816115255,20,4,816114841,artifact_jump_optimized
415,816115256,20,4,816114841,artifact_jump_optimized
416,816115257,20,4,816114841,artifact_jump_optimized
417,816115258,20,4,816114841,artifact_jump_optimized
418,816115259,20,4,816114841,artifact_jump_optimized
419,816115260,20,4,816114841,artifact_jump_optimized
420,816115261,20,4,816114841,artifact_jump_optimized
421,816115262,20,4,816114841,artifact_jump_optimized
422,816115263,20,4,816114841,artifact_jump_optimized
423,816115264,20,4,816114841,artifact_jump_optimized
424,816115265,20,4,816114841,artifact_jump_optimized
425,816115266,20,4,816114841,artifact_jump_optimized
426,816115267,20,4,816114841,artifact_jump_optimized
427,816115268,20,4,816114841,artifact_jump_optimized
428,816115269,20,4,816114841,artifact_jump_optimized
429,816115270,20,4,816114841,artifact_jump_optimized
430,816115271,20,4,816114841,artifact_jump_optimized
431,816115272,20,4,816114841,artifact_jump_optimized
432,816115273,20,4,816114841,artifact_jump_optimized
433,816115274,20,4,816114841,artifact_jump_optimized
434,816115275,20,4,816114841,artifact_jump_optimized
435,816115276,20,4,816114841,artifact_jump_optimized
436,816115277,20,4,816114841,artifact_jump_optimized
437,816115278,20,4,816114841,artifact_jump_optimized
438,816115279,20,4,816114841,artifact_jump_optimized
439,816115280,20,4,816114841,artifact_jump_optimized
440,816115281,20,4,816114841,artifact_jump_optimized
441,816115282,20,4,816114841,artifact_jump_optimized
442,816115283,20,4,816114841,artifact_jump_optimized
443,816115284,20,4,816114841,artifact_jump_optimized
444,816115285,20,4,816114841,artifact_jump_optimized
445,816115286,20,4,816114841,artifact_jump_optimized
446,816115287,20,4,816114841,artifact_jump_optimized
447,816115288,20,4,816114841,artifact_jump_optimized
448,816115289,20,4,816114841,artifact_jump_optimized
449,816115290,20,4,816114841,artifact_jump_optimized
450,816115291,20,4,816114841,artifact_jump_optimized
451,816115292,20,4,816114841,artifact_jump_optimized
452,816115293,20,4,816114841,artifact_jump_optimized
453,816115294,20,4,816114841,artifact_jump_optimized
454,816115295,20,4,816114841,artifact_jump_optimized
455,816115296,20,4,816114841,artifact_jump_optimized
456,816115297,20,4,816114841,artifact_jump_optimized
457,816115298,20,4,816114841,artifact_jump_optimized
458,816115299,20,4,816114841,artifact_jump_optimized
459,816115300,20,4,816114841,artifact_jump_optimized
460,816115301,20,4,816114841,artifact_jump_optimized
461,816115302,20,4,816114841,artifact_jump_optimized
462,816115303,20,4,816114841,artifact_jump_optimized
463,816115304,20,4,816114841,artifact_jump_optimized
464,816115305,20,4,816114841,artifact_jump_optimized
465,816115306,20,4,816114841,artifact_jump_optimized
466,816115307,20,4,816114841,artifact_jump_optimized
467,816115308,20,4,816114841,artifact_jump_optimized
468,816115309,20,4,816114841,artifact_jump_optimized
469,816115310,20,4,816114841,artifact_jump_optimized
470,816115311,20,4,816114841,artifact_jump_optimized
471,816115312,20,4,816114841,artifact_jump_optimized
472,816115313,20,4,816114841,artifact_jump_optimized
473,816115314,20,4,816114841,artifact_jump_optimized
474,816115315,20,4,816114841,artifact_jump_optimized
475,816115316,20,4,816114841,artifact_jump_optimized
476,816115317,20,4,816114841,artifact_jump_optimized
477,816115318,20,4,816114841,artifact_jump_optimized
478,816115319,20,4,816114841,artifact_jump_optimized
479,816115320,20,4,816114841,artifact_jump_optimized
480,816115321,20,4,816114841,artifact_jump_optimized
481,816115322,20,4,816114841,artifact_jump_optimized
482,816115323,20,4,816114841,artifact_jump_optimized
483,816115324,20,4,816114841,artifact_jump_optimized
484,816115325,20,4,816114841,artifact_jump_optimized
485,816115326,20,4,816114841,artifact_jump_optimized
486,816115327,20,4,816114841,artifact_jump_optimized
487,816115328,20,4,816114841,artifact_jump_optimized
488,816115329,20,4,816114841,artifact_jump_optimized
489,816115330,20,4,816114841,artifact_jump_optimized
490,816115331,20,4,816114841,artifact_jump_optimized
491,816115332,20,4,816114841,artifact_jump_optimized
492,816115333,20,4,816114841,artifact_jump_optimized
493,816115334,20,4,816114841,artifact_jump_optimized
494,816115335,20,4,816114841,artifact_jump_optimized
495,816115336,20,4,816114841,artifact_jump_optimized
496,816115337,20,4,816114841,artifact_jump_optimized
497,816115338,20,4,816114841,artifact_jump_optimized
498,816115339,20,4,816114841,artifact_jump_optimized
499,816115340,20,4,816114841,artifact_jump_optimized
500,816115341,20,4,816114841,artifact_jump_optimized
