Run,OrderedEntry,VariableName,MatrixRow,MatrixColumn,RowEligibleOrder,IndependentOrder,VariableType,LowerBound,UpperBound,Dependency,RowSumEquation,InstanceSHA256
1,12,w_3_14,3,14,5,10,independent,0,1,,w_3_2 + w_3_3 + w_3_6 + w_3_12 + w_3_14 + w_3_20 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,13,w_3_20,3,20,6,NaN,dependent-row-sum,0,1,1 - (w_3_2 + w_3_3 + w_3_6 + w_3_12 + w_3_14),w_3_2 + w_3_3 + w_3_6 + w_3_12 + w_3_14 + w_3_20 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,14,w_4_4,4,4,1,11,independent,0,1,,w_4_4 + w_4_7 + w_4_11 + w_4_19 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,15,w_4_7,4,7,2,12,independent,0,1,,w_4_4 + w_4_7 + w_4_11 + w_4_19 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,16,w_4_11,4,11,3,13,independent,0,1,,w_4_4 + w_4_7 + w_4_11 + w_4_19 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,17,w_4_19,4,19,4,NaN,dependent-row-sum,0,1,1 - (w_4_4 + w_4_7 + w_4_11),w_4_4 + w_4_7 + w_4_11 + w_4_19 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,18,w_5_5,5,5,1,14,independent,0,1,,w_5_5 + w_5_9 + w_5_13 + w_5_14 + w_5_15 + w_5_16 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,19,w_5_9,5,9,2,15,independent,0,1,,w_5_5 + w_5_9 + w_5_13 + w_5_14 + w_5_15 + w_5_16 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,20,w_5_13,5,13,3,16,independent,0,1,,w_5_5 + w_5_9 + w_5_13 + w_5_14 + w_5_15 + w_5_16 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,21,w_5_14,5,14,4,17,independent,0,1,,w_5_5 + w_5_9 + w_5_13 + w_5_14 + w_5_15 + w_5_16 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,22,w_5_15,5,15,5,18,independent,0,1,,w_5_5 + w_5_9 + w_5_13 + w_5_14 + w_5_15 + w_5_16 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,23,w_5_16,5,16,6,NaN,dependent-row-sum,0,1,1 - (w_5_5 + w_5_9 + w_5_13 + w_5_14 + w_5_15),w_5_5 + w_5_9 + w_5_13 + w_5_14 + w_5_15 + w_5_16 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,24,w_6_2,6,2,1,19,independent,0,1,,w_6_2 + w_6_3 + w_6_6 + w_6_12 + w_6_13 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,25,w_6_3,6,3,2,20,independent,0,1,,w_6_2 + w_6_3 + w_6_6 + w_6_12 + w_6_13 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,26,w_6_6,6,6,3,21,independent,0,1,,w_6_2 + w_6_3 + w_6_6 + w_6_12 + w_6_13 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,27,w_6_12,6,12,4,22,independent,0,1,,w_6_2 + w_6_3 + w_6_6 + w_6_12 + w_6_13 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,28,w_6_13,6,13,5,NaN,dependent-row-sum,0,1,1 - (w_6_2 + w_6_3 + w_6_6 + w_6_12),w_6_2 + w_6_3 + w_6_6 + w_6_12 + w_6_13 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,29,w_7_2,7,2,1,23,independent,0,1,,w_7_2 + w_7_4 + w_7_7 + w_7_15 + w_7_16 + w_7_19 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,30,w_7_4,7,4,2,24,independent,0,1,,w_7_2 + w_7_4 + w_7_7 + w_7_15 + w_7_16 + w_7_19 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,31,w_7_7,7,7,3,25,independent,0,1,,w_7_2 + w_7_4 + w_7_7 + w_7_15 + w_7_16 + w_7_19 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,32,w_7_15,7,15,4,26,independent,0,1,,w_7_2 + w_7_4 + w_7_7 + w_7_15 + w_7_16 + w_7_19 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,33,w_7_16,7,16,5,27,independent,0,1,,w_7_2 + w_7_4 + w_7_7 + w_7_15 + w_7_16 + w_7_19 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,34,w_7_19,7,19,6,NaN,dependent-row-sum,0,1,1 - (w_7_2 + w_7_4 + w_7_7 + w_7_15 + w_7_16),w_7_2 + w_7_4 + w_7_7 + w_7_15 + w_7_16 + w_7_19 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,35,w_8_8,8,8,1,28,independent,0,1,,w_8_8 + w_8_19 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,36,w_8_19,8,19,2,NaN,dependent-row-sum,0,1,1 - (w_8_8),w_8_8 + w_8_19 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,37,w_9_5,9,5,1,29,independent,0,1,,w_9_5 + w_9_9 + w_9_15 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,38,w_9_9,9,9,2,30,independent,0,1,,w_9_5 + w_9_9 + w_9_15 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,39,w_9_15,9,15,3,NaN,dependent-row-sum,0,1,1 - (w_9_5 + w_9_9),w_9_5 + w_9_9 + w_9_15 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,40,w_10_10,10,10,1,31,independent,0,1,,w_10_10 + w_10_18 + w_10_19 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,41,w_10_18,10,18,2,32,independent,0,1,,w_10_10 + w_10_18 + w_10_19 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,42,w_10_19,10,19,3,NaN,dependent-row-sum,0,1,1 - (w_10_10 + w_10_18),w_10_10 + w_10_18 + w_10_19 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,43,w_11_4,11,4,1,33,independent,0,1,,w_11_4 + w_11_11 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,44,w_11_11,11,11,2,NaN,dependent-row-sum,0,1,1 - (w_11_4),w_11_4 + w_11_11 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,45,w_12_3,12,3,1,34,independent,0,1,,w_12_3 + w_12_6 + w_12_12 + w_12_15 + w_12_16 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,46,w_12_6,12,6,2,35,independent,0,1,,w_12_3 + w_12_6 + w_12_12 + w_12_15 + w_12_16 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,47,w_12_12,12,12,3,36,independent,0,1,,w_12_3 + w_12_6 + w_12_12 + w_12_15 + w_12_16 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,48,w_12_15,12,15,4,37,independent,0,1,,w_12_3 + w_12_6 + w_12_12 + w_12_15 + w_12_16 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,49,w_12_16,12,16,5,NaN,dependent-row-sum,0,1,1 - (w_12_3 + w_12_6 + w_12_12 + w_12_15),w_12_3 + w_12_6 + w_12_12 + w_12_15 + w_12_16 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,50,w_13_5,13,5,1,38,independent,0,1,,w_13_5 + w_13_6 + w_13_13 + w_13_20 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,51,w_13_6,13,6,2,39,independent,0,1,,w_13_5 + w_13_6 + w_13_13 + w_13_20 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,52,w_13_13,13,13,3,40,independent,0,1,,w_13_5 + w_13_6 + w_13_13 + w_13_20 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,53,w_13_20,13,20,4,NaN,dependent-row-sum,0,1,1 - (w_13_5 + w_13_6 + w_13_13),w_13_5 + w_13_6 + w_13_13 + w_13_20 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,54,w_14_1,14,1,1,41,independent,0,1,,w_14_1 + w_14_3 + w_14_5 + w_14_14 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,55,w_14_3,14,3,2,42,independent,0,1,,w_14_1 + w_14_3 + w_14_5 + w_14_14 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,56,w_14_5,14,5,3,43,independent,0,1,,w_14_1 + w_14_3 + w_14_5 + w_14_14 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,57,w_14_14,14,14,4,NaN,dependent-row-sum,0,1,1 - (w_14_1 + w_14_3 + w_14_5),w_14_1 + w_14_3 + w_14_5 + w_14_14 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,58,w_15_5,15,5,1,44,independent,0,1,,w_15_5 + w_15_7 + w_15_9 + w_15_12 + w_15_15 + w_15_17 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,59,w_15_7,15,7,2,45,independent,0,1,,w_15_5 + w_15_7 + w_15_9 + w_15_12 + w_15_15 + w_15_17 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,60,w_15_9,15,9,3,46,independent,0,1,,w_15_5 + w_15_7 + w_15_9 + w_15_12 + w_15_15 + w_15_17 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,61,w_15_12,15,12,4,47,independent,0,1,,w_15_5 + w_15_7 + w_15_9 + w_15_12 + w_15_15 + w_15_17 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,62,w_15_15,15,15,5,48,independent,0,1,,w_15_5 + w_15_7 + w_15_9 + w_15_12 + w_15_15 + w_15_17 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,63,w_15_17,15,17,6,NaN,dependent-row-sum,0,1,1 - (w_15_5 + w_15_7 + w_15_9 + w_15_12 + w_15_15),w_15_5 + w_15_7 + w_15_9 + w_15_12 + w_15_15 + w_15_17 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,64,w_16_5,16,5,1,49,independent,0,1,,w_16_5 + w_16_7 + w_16_12 + w_16_16 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,65,w_16_7,16,7,2,50,independent,0,1,,w_16_5 + w_16_7 + w_16_12 + w_16_16 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,66,w_16_12,16,12,3,51,independent,0,1,,w_16_5 + w_16_7 + w_16_12 + w_16_16 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,67,w_16_16,16,16,4,NaN,dependent-row-sum,0,1,1 - (w_16_5 + w_16_7 + w_16_12),w_16_5 + w_16_7 + w_16_12 + w_16_16 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,68,w_17_15,17,15,1,52,independent,0,1,,w_17_15 + w_17_17 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,69,w_17_17,17,17,2,NaN,dependent-row-sum,0,1,1 - (w_17_15),w_17_15 + w_17_17 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,70,w_18_1,18,1,1,53,independent,0,1,,w_18_1 + w_18_10 + w_18_18 + w_18_19 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,71,w_18_10,18,10,2,54,independent,0,1,,w_18_1 + w_18_10 + w_18_18 + w_18_19 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,72,w_18_18,18,18,3,55,independent,0,1,,w_18_1 + w_18_10 + w_18_18 + w_18_19 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,73,w_18_19,18,19,4,NaN,dependent-row-sum,0,1,1 - (w_18_1 + w_18_10 + w_18_18),w_18_1 + w_18_10 + w_18_18 + w_18_19 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,74,w_19_4,19,4,1,56,independent,0,1,,w_19_4 + w_19_7 + w_19_8 + w_19_10 + w_19_18 + w_19_19 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,75,w_19_7,19,7,2,57,independent,0,1,,w_19_4 + w_19_7 + w_19_8 + w_19_10 + w_19_18 + w_19_19 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,76,w_19_8,19,8,3,58,independent,0,1,,w_19_4 + w_19_7 + w_19_8 + w_19_10 + w_19_18 + w_19_19 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,77,w_19_10,19,10,4,59,independent,0,1,,w_19_4 + w_19_7 + w_19_8 + w_19_10 + w_19_18 + w_19_19 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,78,w_19_18,19,18,5,60,independent,0,1,,w_19_4 + w_19_7 + w_19_8 + w_19_10 + w_19_18 + w_19_19 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,79,w_19_19,19,19,6,NaN,dependent-row-sum,0,1,1 - (w_19_4 + w_19_7 + w_19_8 + w_19_10 + w_19_18),w_19_4 + w_19_7 + w_19_8 + w_19_10 + w_19_18 + w_19_19 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,80,w_20_3,20,3,1,61,independent,0,1,,w_20_3 + w_20_13 + w_20_20 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,81,w_20_13,20,13,2,62,independent,0,1,,w_20_3 + w_20_13 + w_20_20 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
1,82,w_20_20,20,20,3,NaN,dependent-row-sum,0,1,1 - (w_20_3 + w_20_13),w_20_3 + w_20_13 + w_20_20 = 1,5219b01d7ae26afe4b9a0f07df7dbce4393d9b97a57334d3ea62fa324147caed
2,1,w_1_1,1,1,1,1,independent,0,1,,w_1_1 + w_1_6 + w_1_18 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,2,w_1_6,1,6,2,2,independent,0,1,,w_1_1 + w_1_6 + w_1_18 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,3,w_1_18,1,18,3,NaN,dependent-row-sum,0,1,1 - (w_1_1 + w_1_6),w_1_1 + w_1_6 + w_1_18 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,4,w_2_2,2,2,1,3,independent,0,1,,w_2_2 + w_2_12 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,5,w_2_12,2,12,2,NaN,dependent-row-sum,0,1,1 - (w_2_2),w_2_2 + w_2_12 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,6,w_3_3,3,3,1,4,independent,0,1,,w_3_3 + w_3_9 + w_3_16 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,7,w_3_9,3,9,2,5,independent,0,1,,w_3_3 + w_3_9 + w_3_16 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,8,w_3_16,3,16,3,NaN,dependent-row-sum,0,1,1 - (w_3_3 + w_3_9),w_3_3 + w_3_9 + w_3_16 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,9,w_4_4,4,4,1,6,independent,0,1,,w_4_4 + w_4_6 + w_4_19 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,10,w_4_6,4,6,2,7,independent,0,1,,w_4_4 + w_4_6 + w_4_19 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,11,w_4_19,4,19,3,NaN,dependent-row-sum,0,1,1 - (w_4_4 + w_4_6),w_4_4 + w_4_6 + w_4_19 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,12,w_5_5,5,5,1,8,independent,0,1,,w_5_5 + w_5_8 + w_5_10 + w_5_20 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,13,w_5_8,5,8,2,9,independent,0,1,,w_5_5 + w_5_8 + w_5_10 + w_5_20 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,14,w_5_10,5,10,3,10,independent,0,1,,w_5_5 + w_5_8 + w_5_10 + w_5_20 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,15,w_5_20,5,20,4,NaN,dependent-row-sum,0,1,1 - (w_5_5 + w_5_8 + w_5_10),w_5_5 + w_5_8 + w_5_10 + w_5_20 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,16,w_6_1,6,1,1,11,independent,0,1,,w_6_1 + w_6_4 + w_6_6 + w_6_9 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,17,w_6_4,6,4,2,12,independent,0,1,,w_6_1 + w_6_4 + w_6_6 + w_6_9 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,18,w_6_6,6,6,3,13,independent,0,1,,w_6_1 + w_6_4 + w_6_6 + w_6_9 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,19,w_6_9,6,9,4,NaN,dependent-row-sum,0,1,1 - (w_6_1 + w_6_4 + w_6_6),w_6_1 + w_6_4 + w_6_6 + w_6_9 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,20,w_7_7,7,7,1,14,independent,0,1,,w_7_7 + w_7_9 + w_7_12 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,21,w_7_9,7,9,2,15,independent,0,1,,w_7_7 + w_7_9 + w_7_12 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,22,w_7_12,7,12,3,NaN,dependent-row-sum,0,1,1 - (w_7_7 + w_7_9),w_7_7 + w_7_9 + w_7_12 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,23,w_8_5,8,5,1,16,independent,0,1,,w_8_5 + w_8_8 + w_8_20 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,24,w_8_8,8,8,2,17,independent,0,1,,w_8_5 + w_8_8 + w_8_20 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,25,w_8_20,8,20,3,NaN,dependent-row-sum,0,1,1 - (w_8_5 + w_8_8),w_8_5 + w_8_8 + w_8_20 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,26,w_9_3,9,3,1,18,independent,0,1,,w_9_3 + w_9_6 + w_9_7 + w_9_9 + w_9_12 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,27,w_9_6,9,6,2,19,independent,0,1,,w_9_3 + w_9_6 + w_9_7 + w_9_9 + w_9_12 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,28,w_9_7,9,7,3,20,independent,0,1,,w_9_3 + w_9_6 + w_9_7 + w_9_9 + w_9_12 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,29,w_9_9,9,9,4,21,independent,0,1,,w_9_3 + w_9_6 + w_9_7 + w_9_9 + w_9_12 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,30,w_9_12,9,12,5,NaN,dependent-row-sum,0,1,1 - (w_9_3 + w_9_6 + w_9_7 + w_9_9),w_9_3 + w_9_6 + w_9_7 + w_9_9 + w_9_12 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,31,w_10_5,10,5,1,22,independent,0,1,,w_10_5 + w_10_10 + w_10_13 + w_10_17 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,32,w_10_10,10,10,2,23,independent,0,1,,w_10_5 + w_10_10 + w_10_13 + w_10_17 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,33,w_10_13,10,13,3,24,independent,0,1,,w_10_5 + w_10_10 + w_10_13 + w_10_17 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,34,w_10_17,10,17,4,NaN,dependent-row-sum,0,1,1 - (w_10_5 + w_10_10 + w_10_13),w_10_5 + w_10_10 + w_10_13 + w_10_17 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,35,w_11_11,11,11,1,25,independent,0,1,,w_11_11 + w_11_15 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,36,w_11_15,11,15,2,NaN,dependent-row-sum,0,1,1 - (w_11_11),w_11_11 + w_11_15 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,37,w_12_2,12,2,1,26,independent,0,1,,w_12_2 + w_12_7 + w_12_9 + w_12_12 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,38,w_12_7,12,7,2,27,independent,0,1,,w_12_2 + w_12_7 + w_12_9 + w_12_12 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,39,w_12_9,12,9,3,28,independent,0,1,,w_12_2 + w_12_7 + w_12_9 + w_12_12 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,40,w_12_12,12,12,4,NaN,dependent-row-sum,0,1,1 - (w_12_2 + w_12_7 + w_12_9),w_12_2 + w_12_7 + w_12_9 + w_12_12 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,41,w_13_10,13,10,1,29,independent,0,1,,w_13_10 + w_13_13 + w_13_15 + w_13_16 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
2,42,w_13_13,13,13,2,30,independent,0,1,,w_13_10 + w_13_13 + w_13_15 + w_13_16 = 1,2ee3cf10081837202d5e8fca8fa51f733b39c1b2079f9d197a899c6d1aed8ea7
