source_id,kind,url,revision_or_path,accessed_utc,bytes,sha256,license_status
JOB_GENERATOR,author_code_member,https://github.com/Cyril-Grelier/gcp_ahead/blob/04da9dd489f6e8e76fa3504d105c137bdf9ea323/scripts/jobs_generator.py,scripts/jobs_generator.py,2026-08-07,8367,8999fb401face85f553901486cc14af9e84881a003edf6442581f7dedeb8488e,MIT
RETRY_DRIVER,author_code_member,https://github.com/Cyril-Grelier/gcp_ahead/blob/04da9dd489f6e8e76fa3504d105c137bdf9ea323/scripts/one_job.py,scripts/one_job.py,2026-08-07,10017,b520006de4f87e73d94f9a5e94ddb7ccbc07af84fdf8ec4767cce9dda3f40870,MIT
TABLE_GENERATOR,author_code_member,https://github.com/Cyril-Grelier/gcp_ahead/blob/04da9dd489f6e8e76fa3504d105c137bdf9ea323/scripts/xlsx_generator.py,scripts/xlsx_generator.py,2026-08-07,50003,b915b3b12b4533ce1b7305815805e86c095a13d60629dd51940245d42e403805,MIT
DELETER_ARCHIVE,author_result_archive,https://github.com/Cyril-Grelier/gcp_ahead/raw/04da9dd489f6e8e76fa3504d105c137bdf9ea323/outputs/gcp_hard_ahead_1h_deleter.tgz,outputs/gcp_hard_ahead_1h_deleter.tgz,2026-08-07,64960102,1b7e8cf1ef637005bd994104f6e1ee520256ed387994b126bbe875a137632e41,MIT repository
R250_RESULT_MEMBER,author_result_archive_member,https://github.com/Cyril-Grelier/gcp_ahead/blob/04da9dd489f6e8e76fa3504d105c137bdf9ea323/outputs/gcp_hard_ahead_1h_deleter.tgz,gcp_hard_ahead_1h_deleter/deleter/r250.5_15.csv,2026-08-07,5124,8baa38bc27940fcbb7e470b2cfb13cc46a7de7950552c11dfa565323f412e787,MIT repository
R250_TBT_MEMBER,author_result_archive_member,https://github.com/Cyril-Grelier/gcp_ahead/blob/04da9dd489f6e8e76fa3504d105c137bdf9ea323/outputs/gcp_hard_ahead_1h_deleter.tgz,gcp_hard_ahead_1h_deleter/deleter/tbt/r250.5_15.csv,2026-08-07,3304,8119fe034a1f8c8a9dbc99542ebd829c66a1e6e7178a1894c3987c52532da16b,MIT repository
AUTHOR_WORKBOOK,author_result_workbook,https://github.com/Cyril-Grelier/gcp_ahead/blob/04da9dd489f6e8e76fa3504d105c137bdf9ea323/xlsx_files/gcp_hard_all.xlsx,xlsx_files/gcp_hard_all.xlsx,2026-08-07,130239,681df6321cfbc87728e7d7e9646719af791e68c902d43ef466c36bc86525fedf,MIT repository
INSTANCE_REPO,author_input_repository,https://github.com/Cyril-Grelier/gc_instances,68e2563a82af68a42ef2ce397317d80b78a5b2a1,2026-08-07,,,MIT
QUEEN11_INPUT,author_input_member,https://github.com/Cyril-Grelier/gc_instances/blob/68e2563a82af68a42ef2ce397317d80b78a5b2a1/original_graphs/queen11_11.col,original_graphs/queen11_11.col,2026-08-07,32677,f838597541d4fcd82cdb8b93e9bd5956ca7a17ee5e2ca827759153a4b68e7d50,MIT
R250_REDUCED_INPUT,author_input_member,https://github.com/Cyril-Grelier/gc_instances/blob/68e2563a82af68a42ef2ce397317d80b78a5b2a1/reduced_gcp/r250.5.col,reduced_gcp/r250.5.col,2026-08-07,123130,1589cfc27c761c6014e3e6ff108270b49392ea300e9395015e28d535def57b39,MIT
